M_X_GeV,"H(0,0)","H(1,0)","H(1,1)","H(2,0)","H(2,1)","H(2,2)","H(3,0)","H(3,1)","H(3,2)","H(3,3)","H(4,0)","H(4,1)","H(4,2)","H(4,3)","H(4,4)"
0.3,0.06952032038366399,-0.004992186986318631,-0.004751588790151588,-0.0007138218757962565,0.0011770655756522812,0.00018854327793749946,-3.301275815275729e-05,1.2390986308836021e-05,-2.686548412354023e-06,4.0600623495049375e-06,4.599831786480485e-07,-2.0426438261470564e-06,-6.6970494159132e-07,0.0,0.0
0.3046822742474916,0.06979078791848513,-0.006059864548501536,-0.005854886668230442,-0.00085997038428394,0.0014414761929118225,0.00024240119058851437,-4.438245533481643e-05,1.706876972903981e-05,-3.719123068663016e-06,5.4679585955896085e-06,6.819249182214378e-07,-3.0889507183241406e-06,-1.0146859714837632e-06,0.0,0.0
0.3093645484949833,0.07016930592377858,-0.007093881283541324,-0.00692921227411336,-0.0010036413452127917,0.0017073072552525922,0.00029932190121084024,-5.6785785962585765e-05,2.2285665162353563e-05,-4.8975583604248625e-06,6.992951374550149e-06,9.42736493532543e-07,-4.3650311771462805e-06,-1.436956030605229e-06,0.0,0.0
0.3140468227424749,0.0706461589396167,-0.008098575463265447,-0.007977408359092306,-0.0011453067675303277,0.001974758321244108,0.00035907497294591754,-7.014014068671045e-05,2.8011015324766236e-05,-6.2240411258412545e-06,8.618423010040837e-06,1.239384971235215e-06,-5.877476214709029e-06,-1.939453170010269e-06,0.0,0.0
0.31872909698996654,0.0712131938023524,-0.009078204993735801,-0.00900282499373037,-0.0012853367508111411,0.0022440223067016853,0.00042150233299060235,-8.43800979726827e-05,3.422260758530685e-05,-7.701918792936223e-06,1.0330135712979823e-05,1.5684318805302675e-06,-7.632900879065864e-06,-2.5252268604029577e-06,0.0,0.0
0.32341137123745817,0.07186354907242391,-0.010036783586746334,-0.010008909345747663,-0.0014240316410078534,0.002515293447366342,0.0004864994820043794,-9.945173695876041e-05,4.0904201245350123e-05,-9.335313247685079e-06,1.2115533668418132e-05,1.9260495849597677e-06,-9.637962670078587e-06,-3.1974453790390063e-06,0.0,0.0
0.3280936454849498,0.07259143936235182,-0.010978033371882917,-0.010999027427095335,-0.0015616424899664385,0.002788772059391069,0.000554003282617715,-0.00011530924212923711,4.804389690953198e-05,-1.1128894882826742e-05,1.3963309100486051e-05,2.3080302435779957e-06,-1.1899377862346128e-05,-3.959403689933236e-06,0.0,0.0
0.33277591973244147,0.07339198220027064,-0.011905385316057254,-0.011976389741495697,-0.0016983848064464435,0.0030646675964155342,0.000623983622110958,-0.0001319127530712286,5.56329974609619e-05,-1.3087744960580913e-05,1.58631134935455e-05,2.709788871510212e-06,-1.4423936342252406e-05,-4.8145318025855075e-06,0.0,0.0
0.3374581939799331,0.0742610580348292,-0.01282199905995978,-0.012944026005768603,-0.0018344481992573526,0.003343200754417688,0.0006964375152054866,-0.00014922694005662645,6.366517441521095e-05,-1.5217270371955815e-05,1.7805354428641587e-05,3.1263614510337147e-06,-1.7218515343689753e-05,-5.766403599500585e-06,0.0,0.0
0.3421404682274247,0.07519519624477485,-0.013730789681994674,-0.013904783527184234,-0.001970003379386995,0.0036246050296788227,0.0007713848235679829,-0.00016722002686133264,7.213583256589933e-05,-1.7523151363295495e-05,1.9781045691577088e-05,3.5523987074360968e-06,-2.0290092336041046e-05,-6.818746127535455e-06,0.0,0.0
0.3468227424749164,0.07619148170433573,-0.014634455747820449,-0.014861336793385404,-0.0021052074003489354,0.0039091279616066356,0.0008488650895149028,-0.00018586310196005897,8.104160747075504e-05,-2.0011311056759365e-05,2.1781691928535068e-05,3.982155946926638e-06,-2.364575723627248e-05,-7.975449352613831e-06,0.0,0.0
0.351505016722408,0.07724747771621371,-0.01553550613021734,-0.01581620196778869,-0.002240207689931946,0.004197032199419566,0.0009289351621863984,-0.0002051296229814372,9.037995378060392e-05,-2.2687900022396002e-05,2.3799196431484258e-05,4.4094792056992415e-06,-2.7292724063382225e-05,-9.24057638164726e-06,0.0,0.0
0.35618729096989965,0.07836116206992698,-0.016436284564088164,-0.01677175303953521,-0.002375145235543589,0.004488596479669495,0.0010116674021206596,-0.00022499505516872988,0.0001001487963620044,-2.5559291675992838e-05,2.582578477906345e-05,4.8277878523505956e-06,-3.1238342116622834e-05,-1.0618374159633437e-05,0.0,0.0
0.3608695652173913,0.07953087369770347,-0.017338991612123388,-0.017730237957372802,-0.002510157168414718,0.004784116571246242,0.0010971483172261686,-0.0002454366057068991,0.00011034622483258335,-2.8632085775599032e-05,2.7853939518204736e-05,5.230053704511616e-06,-3.549010673239094e-05,-1.2113284653894711e-05,0.0,0.0
0.3655518394648829,0.08075526794375953,-0.01824570405370654,-0.018693793914996617,-0.0026453789177020848,0.005083906226279533,0.0011854775265023626,-0.00026643302869978636,0.0001209702177145384,-3.191311821948096e-05,2.9876342588141114e-05,5.608776655288907e-06,-4.005566965459425e-05,-1.3729956541303742e-05,0.0,0.0
0.3702341137123746,0.08203327887965645,-0.01915839186069017,-0.019664461405968326,-0.0027809460569578398,0.0053882981641487065,0.0012767669767595,-0.0002879644837575533,0.0001320183861239417,-3.5409475946540696e-05,3.188582315321165e-05,5.95595674997078e-06,-4.4942849037218926e-05,-1.5473257418137837e-05,0.0,0.0
0.3749163879598662,0.08336408742056642,-0.020078932981263394,-0.02064419690866203,-0.0029169959328471866,0.005697645108818455,0.0013711403573604293,-0.0003100124364800559,0.00014348772944649307,-3.9128516138224535e-05,3.3875309140723284e-05,6.263062604509413e-06,-5.015963908415216e-05,-1.7348286555930806e-05,0.0,0.0
0.37959866220735783,0.08474709424819328,-0.021009126164173293,-0.021634884189762504,-0.0030536691436675836,0.006012320895330691,0.001468732671835055,-0.00033255959268027504,0.0001553743972204447,-4.307788919428604e-05,3.583778119976426e-05,6.520996011848762e-06,-5.571421931896696e-05,-1.9360388230362816e-05,0.0,0.0
0.3842809364548495,0.08618189674308868,-0.02195070204428064,-0.022638344279450308,-0.00319111091965903,0.0063327216585483325,0.0015696899350749944,-0.00035558986062405804,0.0001676734527125943,-4.726556514853789e-05,3.776622808056363e-05,6.720052538287597e-06,-6.16149634655747e-05,-2.1515165653859302e-05,0.0,0.0
0.38896321070234113,0.08766826928505908,-0.022905332689441775,-0.023656344200634213,-0.0033294724460952944,0.006659267115592859,0.0016741689719594955,-0.000379088337258103,0.0001803786345984522,-5.1699863332693144e-05,3.965360262728073e-05,6.849877868277777e-06,-6.787044790879741e-05,-2.3818495546163086e-05,0.0,0.0
